start,end,label
2025-09-10T11:27:09.378850,2025-09-10T11:27:10.029150,blink
2025-09-10T11:27:11.447400,2025-09-10T11:27:11.980600,blink
2025-09-10T11:27:13.100450,2025-09-10T11:27:13.551550,blink
2025-09-10T11:27:13.815600,2025-09-10T11:27:14.196400,blink
2025-09-10T11:27:15.977500,2025-09-10T11:27:16.516500,blink
2025-09-10T11:27:18.183600,2025-09-10T11:27:18.728400,blink
2025-09-10T11:27:20.305050,2025-09-10T11:27:20.972950,blink
2025-09-10T11:27:22.159750,2025-09-10T11:27:22.822250,blink
2025-09-10T11:27:24.228400,2025-09-10T11:27:25.007600,blink
2025-09-10T11:27:26.299700,2025-09-10T11:27:27.094300,blink
2025-09-10T11:27:28.363250,2025-09-10T11:27:29.072750,blink
2025-09-10T11:27:30.409100,2025-09-10T11:27:31.246900,blink
2025-09-10T11:27:32.378150,2025-09-10T11:27:33.133850,blink
2025-09-10T11:27:34.370050,2025-09-10T11:27:34.955950,blink
2025-09-10T11:27:36.374650,2025-09-10T11:27:37.187350,blink
2025-09-10T11:27:38.184800,2025-09-10T11:27:39.327200,blink
2025-09-10T11:27:40.194850,2025-09-10T11:27:40.845150,blink
2025-09-10T11:27:41.905950,2025-09-10T11:27:42.644050,blink
2025-09-10T11:27:43.930550,2025-09-10T11:27:44.475450,blink
2025-09-10T11:27:46.285800,2025-09-10T11:27:46.848200,blink
2025-09-10T11:27:48.316100,2025-09-10T11:27:48.819900,blink
2025-09-10T11:27:50.357900,2025-09-10T11:27:50.762100,blink
2025-09-10T11:27:51.999150,2025-09-10T11:27:52.508850,blink
2025-09-10T11:27:54.284800,2025-09-10T11:27:54.683200,blink
2025-09-10T11:27:05.577450,2025-09-10T11:27:08.464550,garbage
2025-09-10T11:27:12.084550,2025-09-10T11:27:12.957450,garbage
2025-09-10T11:27:10.104900,2025-09-10T11:27:11.335100,garbage
2025-09-10T11:27:14.289200,2025-09-10T11:27:15.882800,garbage
