start,end,label
2025-09-01T19:56:58.181050,2025-09-01T19:56:58.720950,garbage
2025-09-01T19:56:58.761050,2025-09-01T19:56:59.230950,blink
2025-09-01T19:57:00.463606066,2025-09-01T19:57:00.940393934,blink
2025-09-01T19:57:02.440117851,2025-09-01T19:57:02.969882149,blink
2025-09-01T19:57:04.891686500,2025-09-01T19:57:05.480313500,blink
2025-09-01T19:57:06.918606066,2025-09-01T19:57:07.395393934,blink
2025-09-01T19:57:08.852985,2025-09-01T19:57:09.507015,blink
2025-09-01T19:57:10.676124401,2025-09-01T19:57:11.399875599,blink
2025-09-01T19:57:12.458124401,2025-09-01T19:57:13.181875599,blink
2025-09-01T19:57:14.597631550,2025-09-01T19:57:15.338368450,blink
2025-09-01T19:57:16.583631550,2025-09-01T19:57:17.324368450,blink
2025-09-01T19:57:18.711668395,2025-09-01T19:57:19.378331605,blink
2025-09-01T19:57:20.252702071,2025-09-01T19:57:21.051297929,blink
2025-09-01T19:57:22.601668395,2025-09-01T19:57:23.268331605,blink
2025-09-01T19:57:24.444001556,2025-09-01T19:57:25.043998444,blink
2025-09-01T19:57:26.332001400,2025-09-01T19:57:26.871998600,blink
2025-09-01T19:57:28.382631550,2025-09-01T19:57:29.123368450,blink
2025-09-01T19:57:30.635001400,2025-09-01T19:57:31.174998600,blink
2025-09-01T19:57:32.755301134,2025-09-01T19:57:33.192698866,blink
2025-09-01T19:57:34.675001556,2025-09-01T19:57:35.274998444,blink
2025-09-01T19:57:36.293301134,2025-09-01T19:57:36.730698866,blink
2025-09-01T19:57:38.271668395,2025-09-01T19:57:38.938331605,blink
2025-09-01T19:57:40.753001556,2025-09-01T19:57:41.352998444,blink
2025-09-01T19:57:42.814631550,2025-09-01T19:57:43.555368450,blink
2025-09-01T19:57:44.575479500,2025-09-01T19:57:45.398520500,blink
2025-09-01T19:57:46.721631550,2025-09-01T19:57:47.462368450,blink
2025-09-01T19:57:49.056342700,2025-09-01T19:57:49.411657300,blink
2025-09-01T19:57:49.719600,2025-09-01T19:57:51.030400,garbage
