start,end,label
2025-09-10T11:11:45.276350,2025-09-10T11:11:45.909650,blink
2025-09-10T11:11:47.515150,2025-09-10T11:11:48.066850,blink
2025-09-10T11:11:49.425400,2025-09-10T11:11:49.964600,blink
2025-09-10T11:11:50.908750,2025-09-10T11:11:51.479250,blink
2025-09-10T11:11:52.652100,2025-09-10T11:11:53.297900,blink
2025-09-10T11:11:54.182750,2025-09-10T11:11:54.659250,blink
2025-09-10T11:11:55.497550,2025-09-10T11:11:56.160450,blink
2025-09-10T11:11:57.544550,2025-09-10T11:11:58.309450,blink
2025-09-10T11:11:59.799350,2025-09-10T11:12:00.432650,blink
2025-09-10T11:12:01.781450,2025-09-10T11:12:02.596550,blink
2025-09-10T11:12:03.628450001,2025-09-10T11:12:04.675549999,blink
2025-09-10T11:12:06.124050,2025-09-10T11:12:07.095950,blink
2025-09-10T11:12:07.948950,2025-09-10T11:12:08.927050,blink
2025-09-10T11:12:09.955800,2025-09-10T11:12:11.108200,blink
2025-09-10T11:12:11.958700,2025-09-10T11:12:12.949300,blink
2025-09-10T11:12:13.776450,2025-09-10T11:12:14.787550,blink
2025-09-10T11:12:15.877800,2025-09-10T11:12:17.094200,blink
2025-09-10T11:12:17.806100,2025-09-10T11:12:18.777900,blink
2025-09-10T11:12:19.957000,2025-09-10T11:12:20.747000,blink
2025-09-10T11:12:22.217650,2025-09-10T11:12:23.302350,blink
2025-09-10T11:12:23.742250,2025-09-10T11:12:24.613750,blink
2025-09-10T11:12:25.629950,2025-09-10T11:12:26.282050,blink
2025-09-10T11:12:28.059750,2025-09-10T11:12:29.000250,blink
2025-09-10T11:12:29.524300,2025-09-10T11:12:30.345700,blink
2025-09-10T11:12:31.361750,2025-09-10T11:12:32.490250,blink
2025-09-10T11:12:32.882300,2025-09-10T11:12:33.797700,garbage
2025-09-10T11:11:41.658400,2025-09-10T11:11:42.987600,garbage
2025-09-10T11:11:43.392750,2025-09-10T11:11:44.333250,blink
