start,end,label
2025-09-01T18:06:10.966050,2025-09-01T18:06:11.507950,blink
2025-09-01T18:06:16.772050,2025-09-01T18:06:17.313950,blink
2025-09-01T18:06:22.725850,2025-09-01T18:06:23.602150,blink
2025-09-01T18:06:28.371850,2025-09-01T18:06:29.248150,blink
2025-09-01T18:06:34.558850,2025-09-01T18:06:35.435150,blink
2025-09-01T18:06:40.813850,2025-09-01T18:06:41.690150,blink
2025-09-01T18:06:46.648850,2025-09-01T18:06:47.525150,blink
2025-09-01T18:06:52.419850,2025-09-01T18:06:53.296150,blink
2025-09-01T18:06:58.700850,2025-09-01T18:06:59.577150,blink
2025-09-01T18:07:04.432850,2025-09-01T18:07:05.309150,blink
2025-09-01T18:07:10.375850,2025-09-01T18:07:11.252150,blink
2025-09-01T18:07:17.215850,2025-09-01T18:07:18.092150,blink
