start,end,label
2025-09-01T16:06:04.015150,2025-09-01T16:06:05.062850,blink
2025-09-01T16:06:05.972150,2025-09-01T16:06:07.019850,blink
2025-09-01T16:06:07.976150,2025-09-01T16:06:09.023850,blink
2025-09-01T16:06:09.960150,2025-09-01T16:06:11.007850,blink
2025-09-01T16:06:11.983150,2025-09-01T16:06:13.030850,blink
2025-09-01T16:06:14.012150,2025-09-01T16:06:15.059850,blink
2025-09-01T16:06:16.051150,2025-09-01T16:06:17.098850,blink
2025-09-01T16:06:18.096150,2025-09-01T16:06:19.143850,blink
2025-09-01T16:06:20.081150,2025-09-01T16:06:21.128850,blink
2025-09-01T16:06:21.972150,2025-09-01T16:06:23.019850,blink
